Amplitude_Ratio,Phase_Difference_deg,Axis_Ratio,A1,A2,A3,A4,A5,A6,A4_over_A2,Dominant_m
0.7819434351688712,105.3064877669896,0.6924489362109497,0.0,0.09091549844882377,3.947459643111668e-17,0.012393460258934726,5.4277570092785435e-17,0.0018787295650736322,0.1363184547232174,2
0.31295813552750806,115.0052861446514,0.2783358036017071,3.947459643111668e-17,0.29320525148638876,2.960594732333751e-17,0.1260159579141051,7.11638407553195e-17,0.059907678819472975,0.42978752009138227,2
0.35918618671923785,107.8151116169972,0.33735747899324187,3.947459643111668e-17,0.2547038316509757,5.921189464667501e-17,0.09567146494965617,3.558192037765975e-17,0.03981900530481728,0.37561847550356503,2
0.4979972424396816,149.29168133723047,0.21302167971839922,5.582550964208978e-17,0.34208928143767975,1.4309541206279796e-16,0.17012884407741113,1.23653818899207e-16,0.09334149639740241,0.49732293090979063,2
0.7287085258812451,50.75958450684716,0.44000118182005366,1.973729821555834e-17,0.19742323786441351,5.775478816537308e-17,0.05791537963122787,3.558192037765975e-17,0.018857593728214262,0.29335644708148817,2
0.23480364896228648,134.63336217223033,0.16254340583126003,1.5789838572446671e-16,0.3855618209098675,2.960594732333751e-17,0.21458818437071622,9.719492175833904e-17,0.13138787851961822,0.556559733700605,2
0.5232869237465051,157.14316862479322,0.16385016924012089,8.826788100434748e-17,0.3843490113296619,1.2015865499517198e-16,0.21329035174408595,1.9737298215558337e-16,0.13026439922968924,0.5549392491116456,2
0.93793336857864,48.435775152100824,0.44840626668033845,7.11638407553195e-17,0.19317930855514348,7.11638407553195e-17,0.05547629018727316,5.3372880566489624e-17,0.017687296208021123,0.2871751151932368,2
0.527739290214842,88.69205883876727,0.5274957281268525,5.582550964208978e-17,0.15593893221949437,4.0689482653531e-17,0.036288793184727705,4.4408920985006264e-17,0.009384762782006915,0.23271156643325494,2
0.673453015741857,15.585107024165447,0.12647084964477834,8.826788100434748e-17,0.4200490255117003,1.4802973661668756e-16,0.2536823844108776,1.43689699926765e-16,0.1686205134383503,0.6039351813799443,2
0.16629182571027307,30.23219874789393,0.0820239755219333,2.7632217501781674e-16,0.4644778938743286,2.2066970251086873e-16,0.3098180178819881,1.9761954437808196e-16,0.23326219924611938,0.6670242480168798,2
0.48065130100729814,86.00275331070691,0.47878441830835305,0.0,0.17831594983596055,2.960594732333751e-17,0.047347348953503766,4.859746087916952e-17,0.013964953530379428,0.26552503574167285,2
0.5013982848476498,30.606348153725094,0.2132747019853696,8.826788100434748e-17,0.3418849994616713,6.414621920056461e-17,0.16993539654405507,9.868649107779169e-17,0.09318435467941964,0.4970542633096908,2
0.8409794341605015,167.10930633009937,0.11125388927033099,9.86864910777917e-17,0.4352879330399129,2.2330203856835913e-16,0.2721234587769824,2.8157013043405694e-16,0.18831998239772235,0.6251573685412284,2
0.8137212917456416,112.14902485521746,0.6380077877373812,1.973729821555834e-17,0.1107770001850555,5.941713579811853e-17,0.01837989289828335,5.151586075705058e-17,0.0033912198308600375,0.1659179510871329,2
0.9357715899203866,112.07289342638035,0.6696741782328802,5.921189464667501e-17,0.09905379843301265,3.159509314637043e-17,0.01470608916261936,4.549222459129692e-17,0.0024286624541101803,0.1484656761806533,2
