Station,Date,Hour_UTC,Frequency_Hz,PLV
KNG,20220101,0,6.5,0.14293676129988717
KNG,20220101,0,6.501,0.1237147763703172
KNG,20220101,0,6.502,0.10678450424341364
KNG,20220101,0,6.503,0.09079057600783697
KNG,20220101,0,6.504,0.07505684666356051
KNG,20220101,0,6.505,0.05890244145445798
KNG,20220101,0,6.506,0.029342591926311258
KNG,20220101,0,6.507,0.010598810377889085
KNG,20220101,0,6.508,0.014936924453258572
KNG,20220101,0,6.509,0.02920460742640229
KNG,20220101,0,6.51,0.04289152363562455
KNG,20220101,0,6.511,0.055418398680110795
KNG,20220101,0,6.512,0.0667168959858901
KNG,20220101,0,6.513,0.07664051304917692
KNG,20220101,0,6.514,0.08541808517013491
KNG,20220101,0,6.515,0.09330241401579673
KNG,20220101,0,6.516,0.10008075872869868
KNG,20220101,0,6.517,0.10580984326518551
KNG,20220101,0,6.518,0.11071301930402773
KNG,20220101,0,6.519,0.11492119505641482
KNG,20220101,0,6.52,0.1185248182160755
KNG,20220101,0,6.521,0.12163062607714423
KNG,20220101,0,6.522,0.12441280238136503
KNG,20220101,0,6.523,0.1270419666882176
KNG,20220101,0,6.524,0.12964849702624723
KNG,20220101,0,6.525,0.13236219749508454
KNG,20220101,0,6.526,0.13533113754670867
KNG,20220101,0,6.527,0.13864019964269972
KNG,20220101,0,6.528,0.14261811657003542
KNG,20220101,0,6.529,0.14734822111904622
KNG,20220101,0,6.53,0.15287285740849346
KNG,20220101,0,6.531,0.15951385672819077
KNG,20220101,0,6.532,0.1671962399525178
KNG,20220101,0,6.533,0.17604384444022017
KNG,20220101,0,6.534,0.18621040928927562
KNG,20220101,0,6.535,0.1976743378050875
KNG,20220101,0,6.536,0.21049556853495113
KNG,20220101,0,6.537,0.22482494060482153
KNG,20220101,0,6.538,0.2403749931170362
KNG,20220101,0,6.539,0.2579730418182148
KNG,20220101,0,6.54,0.2770309429391774
KNG,20220101,0,6.541,0.29944726334589167
KNG,20220101,0,6.542,0.3291212961319128
KNG,20220101,0,6.543,0.3574464128150967
KNG,20220101,0,6.544,0.3783230630154504
KNG,20220101,0,6.545,0.3963055596127903
KNG,20220101,0,6.546,0.4116990364707126
KNG,20220101,0,6.547,0.42455865114026925
KNG,20220101,0,6.548,0.43467936433574755
KNG,20220101,0,6.549,0.4416808220031595
KNG,20220101,0,6.55,0.44477215665746644
KNG,20220101,0,6.551,0.44165881539156043
KNG,20220101,0,6.552,0.43044178065552474
KNG,20220101,0,6.553,0.426410959938541
KNG,20220101,0,6.554,0.4229966661491862
KNG,20220101,0,6.555,0.419171809394836
KNG,20220101,0,6.556,0.41461027657384925
KNG,20220101,0,6.557,0.4090839679682357
KNG,20220101,0,6.558,0.4022484035642058
KNG,20220101,0,6.559,0.39402506437727003
KNG,20220101,0,6.56,0.38504795160592975
KNG,20220101,0,6.561,0.3752992028744783
KNG,20220101,0,6.562,0.36468847152599665
KNG,20220101,0,6.563,0.3531426882865838
KNG,20220101,0,6.564,0.3404788456183705
KNG,20220101,0,6.565,0.3264152093377461
KNG,20220101,0,6.566,0.3104761488015197
KNG,20220101,0,6.567,0.2920464395182234
KNG,20220101,0,6.568,0.269804080971043
KNG,20220101,0,6.569,0.23937114744225424
KNG,20220101,0,6.57,0.1977428700362994
KNG,20220101,0,6.571,0.17120474265697982
KNG,20220101,0,6.572,0.149018130915919
KNG,20220101,0,6.573,0.1298557894473528
KNG,20220101,0,6.574,0.11277054225417461
KNG,20220101,0,6.575,0.09772726196017702
KNG,20220101,0,6.576,0.08520569624361873
KNG,20220101,0,6.577,0.07626683187446616
KNG,20220101,0,6.578,0.07242856478918747
KNG,20220101,0,6.579,0.07518443461986316
KNG,20220101,0,6.58,0.08498462470758092
KNG,20220101,0,6.581,0.09475567650876184
KNG,20220101,0,6.582,0.10517420422361294
KNG,20220101,0,6.583,0.11605838483697575
KNG,20220101,0,6.584,0.12718519068685358
KNG,20220101,0,6.585,0.1383373879613004
KNG,20220101,0,6.586,0.1492136823381946
KNG,20220101,0,6.587,0.15917322561135697
KNG,20220101,0,6.588,0.16632188536280468
KNG,20220101,0,6.589,0.16666713341752312
KNG,20220101,0,6.59,0.15961204399590745
KNG,20220101,0,6.591,0.15366468748466827
KNG,20220101,0,6.592,0.14755484513916214
KNG,20220101,0,6.593,0.14088301811654097
KNG,20220101,0,6.594,0.13376925724990482
KNG,20220101,0,6.595,0.1260790490146037
KNG,20220101,0,6.596,0.11792345081445602
KNG,20220101,0,6.597,0.10966867229329556
KNG,20220101,0,6.598,0.10125217131180599
KNG,20220101,0,6.599,0.09289953634744721
KNG,20220101,0,6.6,0.08449455796422871
KNG,20220101,0,6.601,0.07655925740037851
KNG,20220101,0,6.602,0.06887070140167433
KNG,20220101,0,6.603,0.062102182228869006
KNG,20220101,0,6.604,0.05580843275443409
KNG,20220101,0,6.605,0.05023410392850402
KNG,20220101,0,6.606,0.045331396052275104
KNG,20220101,0,6.607,0.04171866132874294
KNG,20220101,0,6.608,0.03954561619232222
KNG,20220101,0,6.609,0.03908239491674076
KNG,20220101,0,6.61,0.04009244699127806
KNG,20220101,0,6.611,0.042067603744949306
KNG,20220101,0,6.612,0.04496751068110093
KNG,20220101,0,6.613,0.04792655330749915
KNG,20220101,0,6.614,0.05121371735112559
KNG,20220101,0,6.615,0.05409575845408388
KNG,20220101,0,6.616,0.05663953748939159
KNG,20220101,0,6.617,0.06126851841961297
KNG,20220101,0,6.618,0.07157772660371382
KNG,20220101,0,6.619,0.09063822287665524
KNG,20220101,0,6.62,0.11194023261873111
KNG,20220101,0,6.621,0.14290157103051468
KNG,20220101,0,6.622,0.17480792795384614
KNG,20220101,0,6.623,0.19589273308526828
KNG,20220101,0,6.624,0.21306897615912596
KNG,20220101,0,6.625,0.22721548013316853
KNG,20220101,0,6.626,0.23965948457867756
KNG,20220101,0,6.627,0.24985692618294567
KNG,20220101,0,6.628,0.25715968606278033
KNG,20220101,0,6.629,0.259238876469083
KNG,20220101,0,6.63,0.25861179172291204
KNG,20220101,0,6.631,0.26185442024176275
KNG,20220101,0,6.632,0.2659807712072624
KNG,20220101,0,6.633,0.2705454229776853
KNG,20220101,0,6.634,0.27437420389538164
KNG,20220101,0,6.635,0.27734273540597465
KNG,20220101,0,6.636,0.2773214437089928
KNG,20220101,0,6.637,0.2770914293620579
KNG,20220101,0,6.638,0.27959890351534084
KNG,20220101,0,6.639,0.283921433247553
KNG,20220101,0,6.64,0.28385078583348544
KNG,20220101,0,6.641,0.28159397171506273
KNG,20220101,0,6.642,0.2765050878803322
KNG,20220101,0,6.643,0.2694079470078674
KNG,20220101,0,6.644,0.2632509717337911
KNG,20220101,0,6.645,0.25711040402015756
KNG,20220101,0,6.646,0.2500030869148103
KNG,20220101,0,6.647,0.24249973777039505
KNG,20220101,0,6.648,0.2343550404258938
KNG,20220101,0,6.649,0.2250062957557409
KNG,20220101,0,6.65,0.2147455138793968
KNG,20220101,0,6.651,0.2041993951112639
KNG,20220101,0,6.652,0.191575283532099
KNG,20220101,0,6.653,0.17658778864521535
KNG,20220101,0,6.654,0.16082249306294444
KNG,20220101,0,6.655,0.15099719956530383
KNG,20220101,0,6.656,0.1432615202246307
KNG,20220101,0,6.657,0.13673142642118574
KNG,20220101,0,6.658,0.13066831358426034
KNG,20220101,0,6.659,0.12196932681918651
KNG,20220101,0,6.66,0.10581060119757668
KNG,20220101,0,6.661,0.09876522831076683
KNG,20220101,0,6.662,0.09554440405910318
KNG,20220101,0,6.663,0.09475391723423471
KNG,20220101,0,6.664,0.09465144716283591
KNG,20220101,0,6.665,0.09514138497049875
KNG,20220101,0,6.666,0.09452726886672552
KNG,20220101,0,6.667,0.09256186789258003
KNG,20220101,0,6.668,0.08859569753722217
KNG,20220101,0,6.669,0.08185400831956142
KNG,20220101,0,6.67,0.07025226409256258
